BIS Statistics Explorer
"Table D10.3: OTC, credit default swaps, by remaining maturity"
Dataset: Semiannual OTC derivatives statistics(OTC_DERIV)
Unit: USD millions; Herfindahl indices in units
Data updated: 25/05/2016 16:02
"Frequency","International Financial Statistics block","Measure","Risk category","Instrument","Counterparty","Reporting country","Currency, maturity, equity region","Location","Period",30/06/1998,31/12/1998,30/06/1999,31/12/1999,30/06/2000,31/12/2000,30/06/2001,31/12/2001,30/06/2002,31/12/2002,30/06/2003,31/12/2003,30/06/2004,31/12/2004,30/06/2005,31/12/2005,30/06/2006,31/12/2006,30/06/2007,31/12/2007,30/06/2008,31/12/2008,30/06/2009,31/12/2009,30/06/2010,31/12/2010,30/06/2011,31/12/2011,30/06/2012,31/12/2012,30/06/2013,31/12/2013,30/06/2014,31/12/2014,30/06/2015,31/12/2015
"H:Half-yearly","N:Derivatives statistics","T:Notional amounts - sold","Y:Credit default swaps (CDS)","O:Multi-name CDS","U:Insurance and financial guaranty firms","A:All countries","8C:Maturity over 5 years","5J:All countries",H:N:T:Y:O:U:A:8C:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,286,3030,3160,4981,9413,10925,26027,6918,7982,4404,4583,4696,4294,3471,5827,13022,5514,2684,2028,2654,2524,2282,2843
"H:Half-yearly","N:Derivatives statistics","T:Notional amounts - sold","Y:Credit default swaps (CDS)","A:All instruments","V:SPVs, SPCs, or SPEs","A:All countries","8B:Maturity over 1 year and up to 5 years","5J:All countries",H:N:T:Y:A:V:A:8B:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,26924,14226,1996,3919,4558,3851,19497,9322,18943,21998,35040,74108,24205,61199,72360,52946,120514,63713,70553,66404,59303,49173,42811
"H:Half-yearly","N:Derivatives statistics","S:Notional amounts - bought","Y:Credit default swaps (CDS)","O:Multi-name CDS","E:Other financial institutions","A:All countries","8C:Maturity over 5 years","5J:All countries",H:N:S:Y:O:E:A:8C:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,107278,252620,333361,611068,782280,1538217,2028251,1631854,1095147,838354,806670,749660,538033,717712,417931,404473,257766,167199,170349,201124,181358,268683,169602
"H:Half-yearly","N:Derivatives statistics","S:Notional amounts - bought","Y:Credit default swaps (CDS)","O:Multi-name CDS","X:Residual financial institutions ( for reporting only)","A:All countries","8C:Maturity over 5 years","5J:All countries",H:N:S:Y:O:X:A:8C:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,4171,22655,86394,145059,219597,623930,799798,632738,322045,260098,272907,179546,89196,69601,69937,66727,48368,39467,38184,42497,45608,93598,35785
"H:Half-yearly","N:Derivatives statistics","S:Notional amounts - bought","Y:Credit default swaps (CDS)","N:Single-name CDS","F:Non-financial customers","A:All countries","8B:Maturity over 1 year and up to 5 years","5J:All countries",H:N:S:Y:N:F:A:8B:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,126426,117793,159431,130734,146897,144923,109892,114734,109426,267024,239616,123365,60919,44692,61936,57864,49405,24826,47678,47452,39466,33248,37990
"H:Half-yearly","N:Derivatives statistics","S:Notional amounts - bought","Y:Credit default swaps (CDS)","O:Multi-name CDS","D:Reporting dealers (gross)","A:All countries","8A:Maturity of one year or less","5J:All countries",H:N:S:Y:O:D:A:8A:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,11407,74428,158534,329034,648961,637401,880905,821582,403198,640792,486449,556481,570558,690269,1014122,1181534,866386,594826,503489,716798,593973,411292,503556
"H:Half-yearly","N:Derivatives statistics","T:Notional amounts - sold","Y:Credit default swaps (CDS)","N:Single-name CDS","F:Non-financial customers","A:All countries","8A:Maturity of one year or less","5J:All countries",H:N:T:Y:N:F:A:8A:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,16957,7439,13472,20892,21414,24036,13068,14103,11679,39799,42638,21258,8336,5619,7997,3994,3658,4854,4725,4449,3330,4637,9437
"H:Half-yearly","N:Derivatives statistics","T:Notional amounts - sold","Y:Credit default swaps (CDS)","O:Multi-name CDS","S:Central counterparties","A:All countries","8A:Maturity of one year or less","5J:All countries",H:N:T:Y:O:S:A:8A:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31274,31009,109023,312686,242786,144531,124369,167642,151043,109196,91446,102853
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","Y:Credit default swaps (CDS)","N:Single-name CDS","A:All counterparties (net)","A:All countries","8C:Maturity over 5 years","5J:All countries",H:N:A:Y:N:A:A:8C:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,844864,1648526,2247106,3514350,5334020,7780391,9370516,8814282,7190924,5701805,5031351,3545852,3176089,2907266,2142337,1625637,1064930,1160069,700345,712670,542858,605131,407784
"H:Half-yearly","N:Derivatives statistics","T:Notional amounts - sold","Y:Credit default swaps (CDS)","N:Single-name CDS","B:All counterparties (gross)","A:All countries","8B:Maturity over 1 year and up to 5 years","5J:All countries",H:N:T:Y:N:B:A:8B:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,2866364,3951143,5764261,7109651,8668720,11179413,16436273,17274774,12973368,12331800,11415519,9927901,9679861,10071877,9180279,8522354,7899650,7246696,6599163,6141963,5134410,4554852,3736644
