BIS Statistics Explorer
"Table D5.2: Global OTC derivatives market"
Dataset: Semiannual OTC derivatives statistics(OTC_DERIV)
Unit: USD millions; Herfindahl indices in units
Data updated: 25/05/2016 16:02
"Frequency","International Financial Statistics block","Measure","Risk category","Instrument","Counterparty","Reporting country","Currency, maturity, equity region","Location","Period",30/06/1998,31/12/1998,30/06/1999,31/12/1999,30/06/2000,31/12/2000,30/06/2001,31/12/2001,30/06/2002,31/12/2002,30/06/2003,31/12/2003,30/06/2004,31/12/2004,30/06/2005,31/12/2005,30/06/2006,31/12/2006,30/06/2007,31/12/2007,30/06/2008,31/12/2008,30/06/2009,31/12/2009,30/06/2010,31/12/2010,30/06/2011,31/12/2011,30/06/2012,31/12/2012,30/06/2013,31/12/2013,30/06/2014,31/12/2014,30/06/2015,31/12/2015
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","Y:Credit default swaps (CDS)","A:All instruments","A:All counterparties (net)","A:All countries","3D:BB and below","5J:All countries",H:N:A:Y:A:A:A:3D:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,288332,576210,1563457,2214080,3141149,3941682,5992713,7455830,6230741,5671949,4970810,4909360,4691532,6261479,5958157,5150872,5147368,4386703,4866907,4222525,3598876,3251600,2227978
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","Y:Credit default swaps (CDS)","A:All instruments","U:Insurance and financial guaranty firms","A:All countries","5A:Total (All currencies maturities and regions)","5J:All countries",H:N:A:Y:A:U:A:5A:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,65518,113217,235020,296749,306096,331459,492381,397980,399082,385907,331294,273089,269541,358261,297713,277686,258316,230431,209105,197138,216227,178810,162849
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","Y:Credit default swaps (CDS)","A:All instruments","A:All counterparties (net)","A:All countries","8B:Maturity over 1 year and up to 5 years","5J:All countries",H:N:A:Y:A:A:A:8B:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,4659520,7139210,9821292,13019148,16876503,24353126,36037715,36923426,26724773,23191972,21307787,20786997,21480955,23168716,19534614,18247932,18055462,18360083,16162420,14491485,12366934,10944314,8777554
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","H:Total commodities (Sum of codes E, F and G)","I:Options sold","B:All counterparties (gross)","A:All countries","5A:Total (All currencies maturities and regions)","5J:All countries",H:N:A:H:I:B:A:5A:5J,110542,119244,135798,160385,158765,154028,147903,151737,195914,216909,275617,491369,375699,448586,644304,2074389,2202909,2270146,2172671,1779974,4728309,965264,1108372,652001,633913,545403,643275,631404,612371,553725,522441,435565,431903,395989,349524,252325
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","Y:Credit default swaps (CDS)","A:All instruments","F:Non-financial customers","A:All countries","5A:Total (All currencies maturities and regions)","5J:All countries",H:N:A:Y:A:F:A:5A:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,523230,473189,635575,726561,1090942,881554,726455,944449,494802,1519101,1575443,843766,310310,238063,197198,186775,200398,192618,187591,202941,197020,206209,189993
"H:Half-yearly","N:Derivatives statistics","D:Outstanding - gross market values","Z:Other","A:All instruments","A:All counterparties (net)","A:All countries","5A:Total (All currencies maturities and regions)","5J:All countries",H:N:D:Z:A:A:A:5A:5J,392798,492018,400005,428350,391630,484637,417059,518778,609395,870955,1081340,956871,1116127,1641956,1857871,1710426,1747425,1708864,1237494,1758844,2263868,3926803,2815723,2397619,1789346,1543098,1413564,1977714,1848912,1807932,778741,724142,670769,801930,595950,557732
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","E:Gold","H:Options, total","A:All counterparties (net)","A:All countries","5A:Total (All currencies maturities and regions)","5J:All countries",H:N:A:E:H:A:A:5A:5J,82268,98746,102091,124193,141410,116349,115705,130317,161106,179517,169363,190400,188812,236777,178400,206273,308201,500796,284608,394977,427511,243107,246397,222476,193238,166742,184948,214766,203636,190511,208581,138863,128043,145317,91711,108561
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","Y:Credit default swaps (CDS)","A:All instruments","W:Hedge funds","A:All countries","5A:Total (All currencies maturities and regions)","5J:All countries",H:N:A:Y:A:W:A:5A:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,113686,257596,131814,144175,185822,241399,394883,385167,221863,126375,101427,660690,653685,962604,835123,1007850,957162,1076042,1034123,1112232,813834,787734,615742
"H:Half-yearly","N:Derivatives statistics","D:Outstanding - gross market values","Y:Credit default swaps (CDS)","A:All instruments","A:All counterparties (net)","A:All countries","5A:Total (All currencies maturities and regions)","5J:All countries",H:N:D:Y:A:A:A:5A:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,133483,187932,242589,294332,470050,720725,2019870,3191868,5116235,2973449,1801280,1665944,1352423,1344731,1586113,1187325,847630,724967,653425,634896,593026,452957,421098
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","E:Gold","A:All instruments","A:All counterparties (net)","A:All countries","5A:Total (All currencies maturities and regions)","5J:All countries",H:N:A:E:A:A:A:5A:5J,184926,174970,188780,243085,261496,217661,203240,231212,279063,315135,303553,344137,317544,370355,287551,334351,456345,639888,425535,594752,649147,394906,425079,423184,417412,396564,467695,521241,522681,485789,460642,341214,318980,322518,247344,285918
